i,id,rot,t,x,z
15541,0xa1,0.415833055973053,0.0,3358.279541015625,2061.599609375
15542,0xa1,0.41583308577537537,0.0,3371.921142578125,2061.46044921875
15543,0xa1,0.415833979845047,0.0,3385.836669921875,2061.31640625
15544,0xa1,0.41583412885665894,0.0,3399.750244140625,2061.17431640625
15545,0xa1,0.41583406925201416,0.0,3413.391845703125,2061.033203125
15546,0xa1,0.4158358871936798,0.0,3427.3056640625,2060.89111328125
15547,0xa1,0.4158351719379425,0.0,3440.947265625,2060.750244140625
15548,0xa1,0.4158380329608917,0.0,3454.725830078125,2060.608642578125
15549,0xa1,0.4158410131931305,0.0,3468.50439453125,2060.467041015625
15550,0xa1,0.41584664583206177,0.0,3482.14599609375,2060.327880859375
15631,0xa1,-0.6235828995704651,0.0,3464.6728515625,2060.484619140625
15633,0xa1,-0.6235828995704651,0.0,3452.7119140625,2060.593505859375
15635,0xa1,-0.5971347093582153,0.0,3440.31982421875,2060.707763671875
15638,0xa1,-0.5971347093582153,0.0,3422.272216796875,2060.873291015625
15649,0xa1,0.19814088940620422,0.0,3407.274658203125,2061.063720703125
15651,0xa1,0.19814088940620422,0.0,3392.279052734375,2061.25390625
15653,0xa1,0.1670365035533905,0.0,3377.48828125,2061.44091796875
15655,0xa1,0.1670365035533905,0.0,3362.699462890625,2061.627685546875
