i,rot,t,x,z
485,1.7881397695873602e-07,0.0,9300.205078125,872.1500244140625
486,1.7881397695873602e-07,0.0,9360.29296875,872.1500244140625
487,4.203895392974451e-45,0.0,9384.18359375,872.1500244140625
488,5.96046660916727e-08,0.0,9345.365234375,872.1500244140625
489,-1.7881397695873602e-07,0.0,9282.6484375,872.1500244140625
490,-3.5762795391747204e-07,0.0,9219.939453125,872.1500244140625
491,-7.152559078349441e-07,0.0,9207.994140625,872.1500244140625
498,-7.152559078349441e-07,0.0,9207.994140625,872.1500244140625
499,0.7304524183273315,0.0,9207.994140625,872.1500244140625
500,1.0000003576278687,0.0,9207.994140625,872.1500244140625
501,1.0000003576278687,0.0,9207.994140625,872.1500244140625
502,1.0000003576278687,0.0,9207.994140625,872.1500244140625
503,1.0000003576278687,0.0,9207.994140625,872.1500244140625
504,1.7881397695873602e-07,0.0,9231.884765625,872.1500244140625
505,1.7881397695873602e-07,0.0,9294.59375,872.1500244140625
506,3.5786223406830686e-07,0.0,9312.51171875,872.1500244140625
507,-1.0000003576278687,0.0,9312.51171875,872.1500244140625
509,-0.7071067094802856,0.0,9285.7099609375,872.1500244140625
510,-0.7071067094802856,0.0,9241.3583984375,872.1500244140625
511,-0.7071067094802856,0.0,9197.0166015625,872.1500244140625
512,-0.7071067094802856,0.0,9152.6552734375,872.1500244140625
513,-0.7071067094802856,0.0,9109.9208984375,872.1500244140625
514,1.7881397695873602e-07,0.0,9064.7724609375,880.8414916992188
515,-3.5762795391747204e-07,0.0,9002.05859375,880.8414916992188
516,-1.7881397695873602e-07,0.0,8943.896484375,880.8414916992188
517,-3.5762795391747204e-07,0.0,8886.81640625,880.8414916992188
532,-3.5762795391747204e-07,0.0,8826.7626953125,880.8414916992188
533,-3.5762795391747204e-07,0.0,8766.5234375,880.8414916992188
536,-3.5762795391747204e-07,0.0,8703.814453125,880.8414916992188
537,-3.5762795391747204e-07,0.0,8643.447265625,880.8414916992188
538,0.707106351852417,0.0,8591.3818359375,872.1893920898438
540,0.707106351852417,0.0,8547.0419921875,872.1893920898438
542,0.707106351852417,0.0,8502.689453125,872.1893920898438
545,1.0000003576278687,0.0,8491.2041015625,872.1893920898438
546,1.0000003576278687,0.0,8491.2041015625,872.1893920898438
547,-3.5762795391747204e-07,0.0,8464.3310546875,872.1893920898438
548,-0.7071068286895752,0.0,8407.1796875,872.1893920898438
549,-0.7071067094802856,0.0,8363.8056640625,872.1893920898438
550,-0.7071067094802856,0.0,8319.2939453125,872.1893920898438
551,-0.7071067094802856,0.0,8274.953125,872.1893920898438
552,-1.7881397695873602e-07,0.0,8224.5341796875,872.1893920898438
553,-7.152559078349441e-07,0.0,8173.76513671875,872.1893920898438
554,-3.5762795391747204e-07,0.0,8161.8125,872.1893920898438
555,-7.152559078349441e-07,0.0,8102.0859375,872.1893920898438
556,-3.5762795391747204e-07,0.0,8099.099609375,872.1893920898438
557,-3.5762795391747204e-07,0.0,8036.38525390625,872.1893920898438
558,-3.5762795391747204e-07,0.0,7973.67236328125,872.1893920898438
559,-7.152559078349441e-07,0.0,7973.67236328125,872.1893920898438
560,-3.5762795391747204e-07,0.0,7910.95947265625,872.1893920898438
561,-3.5762795391747204e-07,0.0,7850.8935546875,872.1893920898438
562,-3.5762795391747204e-07,0.0,7789.5,872.1893920898438
563,-7.152559078349441e-07,0.0,7789.5,872.1893920898438
564,-3.5762795391747204e-07,0.0,7728.5263671875,872.1893920898438
568,-3.5762795391747204e-07,0.0,7665.5029296875,872.1893920898438
569,-3.5762795391747204e-07,0.0,7605.224609375,873.8029174804688
570,-3.5762795391747204e-07,0.0,7542.39990234375,873.8029174804688
571,-3.5762795391747204e-07,0.0,7482.09130859375,873.8029174804688
572,-0.7071069478988647,0.0,7423.11083984375,873.8029174804688
573,-0.7071067094802856,0.0,7380.12890625,873.8029174804688
574,-0.7071067094802856,0.0,7336.9130859375,873.8029174804688
575,-0.48591911792755127,0.0,7299.53076171875,873.8029174804688
576,-0.9999997615814209,0.0,7299.53076171875,873.8029174804688
577,3.5762795391747204e-07,0.0,7337.84326171875,873.8029174804688
578,1.7881397695873602e-07,0.0,7398.29736328125,873.8029174804688
579,0.7071069478988647,0.0,7451.51220703125,873.8029174804688
580,3.5762795391747204e-07,0.0,7498.82470703125,873.8029174804688
581,1.7881397695873602e-07,0.0,7559.09033203125,880.6770629882812
582,1.7881397695873602e-07,0.0,7621.80322265625,880.6770629882812
583,1.7881397695873602e-07,0.0,7684.72021484375,880.6770629882812
586,1.7881397695873602e-07,0.0,7747.5908203125,880.6770629882812
587,1.7881397695873602e-07,0.0,7808.03369140625,880.6770629882812
588,1.7881397695873602e-07,0.0,7870.74658203125,880.6770629882812
